date;amount;cumulative
2019-09-03;213,88;-27408,15999999999
2019-09-04;0,0;-27408,15999999999
2019-09-05;0,0;-27408,15999999999
2019-09-06;0,0;-27408,15999999999
2019-09-07;308,28;-27099,87999999999
2019-09-08;0,0;-27099,87999999999
2019-09-09;0,0;-27099,87999999999
2019-09-10;0,0;-27099,87999999999
2019-09-11;0,0;-27099,87999999999
2019-09-12;0,0;-27099,87999999999
2019-09-13;0,0;-27099,87999999999
2019-09-14;0,0;-27099,87999999999
2019-09-15;0,0;-27099,87999999999
2019-09-16;587,08;-26512,79999999999
2019-09-17;0,0;-26512,79999999999
2019-09-18;0,0;-26512,79999999999
2019-09-19;0,0;-26512,79999999999
2019-09-20;0,0;-26512,79999999999
2019-09-21;145,04;-26367,759999999987
2019-09-22;0,0;-26367,759999999987
2019-09-23;0,0;-26367,759999999987
2019-09-24;0,0;-26367,759999999987
2019-09-25;164,87;-26202,88999999999
2019-09-26;311,86;-25891,029999999988
2019-09-27;0,0;-25891,029999999988
2019-09-28;109,36;-25781,669999999987
2019-09-29;0,0;-25781,669999999987
2019-09-30;0,0;-25781,669999999987
2019-10-01;0,0;-25781,669999999987
2019-10-02;0,0;-25781,669999999987
2019-10-03;213,88;-25567,789999999986
2019-10-04;0,0;-25567,789999999986
2019-10-05;0,0;-25567,789999999986
2019-10-06;0,0;-25567,789999999986
2019-10-07;308,28;-25259,509999999987
2019-10-08;0,0;-25259,509999999987
2019-10-09;0,0;-25259,509999999987
2019-10-10;0,0;-25259,509999999987
2019-10-11;0,0;-25259,509999999987
2019-10-12;587,08;-24672,429999999986
2019-10-13;0,0;-24672,429999999986
2019-10-14;0,0;-24672,429999999986
2019-10-15;0,0;-24672,429999999986
2019-10-16;0,0;-24672,429999999986
2019-10-17;0,0;-24672,429999999986
2019-10-18;0,0;-24672,429999999986
2019-10-19;0,0;-24672,429999999986
2019-10-20;0,0;-24672,429999999986
2019-10-21;145,04;-24527,389999999985
2019-10-22;0,0;-24527,389999999985
2019-10-23;0,0;-24527,389999999985
2019-10-24;0,0;-24527,389999999985
2019-10-25;164,87;-24362,519999999986
2019-10-26;311,86;-24050,659999999985
2019-10-27;0,0;-24050,659999999985
2019-10-28;109,36;-23941,299999999985
2019-10-29;0,0;-23941,299999999985
2019-10-30;0,0;-23941,299999999985
2019-10-31;0,0;-23941,299999999985
2019-11-01;0,0;-23941,299999999985
2019-11-02;0,0;-23941,299999999985
2019-11-03;213,88;-23727,419999999984
2019-11-04;0,0;-23727,419999999984
2019-11-05;0,0;-23727,419999999984
2019-11-06;0,0;-23727,419999999984
2019-11-07;-1691,72;-25419,139999999985
2019-11-08;0,0;-25419,139999999985
2019-11-09;0,0;-25419,139999999985
2019-11-10;0,0;-25419,139999999985
2019-11-11;0,0;-25419,139999999985
2019-11-12;587,08;-24832,059999999983
2019-11-13;0,0;-24832,059999999983
2019-11-14;0,0;-24832,059999999983
2019-11-15;0,0;-24832,059999999983
2019-11-16;0,0;-24832,059999999983
2019-11-17;0,0;-24832,059999999983
2019-11-18;0,0;-24832,059999999983
2019-11-19;0,0;-24832,059999999983
2019-11-20;0,0;-24832,059999999983
2019-11-21;145,04;-24687,019999999982
2019-11-22;0,0;-24687,019999999982
2019-11-23;0,0;-24687,019999999982
2019-11-24;0,0;-24687,019999999982
2019-11-25;164,87;-24522,149999999983
2019-11-26;311,86;-24210,289999999983
2019-11-27;0,0;-24210,289999999983
2019-11-28;109,36;-24100,929999999982
2019-11-29;0,0;-24100,929999999982
2019-11-30;0,0;-24100,929999999982
2019-12-01;0,0;-24100,929999999982
2019-12-02;0,0;-24100,929999999982
2019-12-03;0,0;-24100,929999999982
2019-12-04;0,0;-24100,929999999982
2019-12-05;0,0;-24100,929999999982
2019-12-06;0,0;-24100,929999999982
2019-12-07;308,28;-23792,649999999983
2019-12-08;0,0;-23792,649999999983
2019-12-09;213,88;-23578,769999999982
2019-12-10;0,0;-23578,769999999982
2019-12-11;0,0;-23578,769999999982
2019-12-12;587,08;-22991,68999999998
2019-12-13;0,0;-22991,68999999998
2019-12-14;0,0;-22991,68999999998
2019-12-15;0,0;-22991,68999999998
2019-12-16;0,0;-22991,68999999998
2019-12-17;0,0;-22991,68999999998
2019-12-18;0,0;-22991,68999999998
2019-12-19;0,0;-22991,68999999998
2019-12-20;0,0;-22991,68999999998
2019-12-21;145,04;-22846,64999999998
2019-12-22;0,0;-22846,64999999998
2019-12-23;0,0;-22846,64999999998
2019-12-24;106,94;-22739,70999999998
2019-12-25;164,87;-22574,839999999982
2019-12-26;311,86;-22262,97999999998
2019-12-27;0,0;-22262,97999999998
2019-12-28;109,36;-22153,61999999998
2019-12-29;0,0;-22153,61999999998
2019-12-30;0,0;-22153,61999999998
2019-12-31;0,0;-22153,61999999998
2020-01-01;0,0;-22153,61999999998
2020-01-02;0,0;-22153,61999999998
2020-01-03;213,88;-21939,73999999998
2020-01-04;0,0;-21939,73999999998
2020-01-05;0,0;-21939,73999999998
2020-01-06;0,0;-21939,73999999998
2020-01-07;308,28;-21631,45999999998
2020-01-08;0,0;-21631,45999999998
2020-01-09;0,0;-21631,45999999998
2020-01-10;0,0;-21631,45999999998
2020-01-11;0,0;-21631,45999999998
2020-01-12;587,08;-21044,37999999998
2020-01-13;0,0;-21044,37999999998
2020-01-14;0,0;-21044,37999999998
2020-01-15;0,0;-21044,37999999998
2020-01-16;0,0;-21044,37999999998
2020-01-17;0,0;-21044,37999999998
2020-01-18;0,0;-21044,37999999998
2020-01-19;0,0;-21044,37999999998
